"","x"
"511","Igf1r"
"512","Insr"
"513","Fcer2a"
"514","Trim28"
"515","Adcy9"
"516","Ctr9"
"517","Eif4g2"
"518","Irag1"
"519","Pcyt1a"
"520","Zfp592"
"521","Psmd4"
"522","Insrr"
"523","Cabp5"
"524","Snx6"
"525","Mthfd2"
"526","Kit"
"527","Pan2"
"528","Cs"
"529","Ampd3"
"530","Bcas2"
"531","Sh2d1a"
"532","Ctcf"
"533","Pard6a"
"534","Tfap4"
"535","Rfx5"
"536","Psmb4"
"537","Mmp8"
"538","Metap1"
"539","Tnfsf14"
"540","Rsl1d1"
"541","Apc"
"542","Reep5"
"543","Uqcc1"
"544","Spo11"
"545","Ncoa2"
"546","Nr2c1"
"547","Smpd4"
"548","Pex1"
"549","Otx1"
"550","Kctd20"
"551","Ctns"
"552","Trpv1"
"553","Dnase1"
"554","Trap1"
"555","Naa60"
"556","1700037C18Rik"
"557","Tyrp1"
"558","Tpr"
"559","Pdc"
"560","Prg4"
"561","Dhx34"
"562","Napa"
"563","Atp5mc1"
"564","Snf8"
"565","Tbcb"
"566","Crkl"
"567","Clint1"
"568","Cdkal1"
"569","Cdcp3"
"570","Clcnkb"
"571","Fam131c"
"572","Fblim1"
"573","Epor"
"574","Mob1b"
"575","Atp6v1b1"
"576","Vax1"
"577","Atp6v1b2"
"578","Eps15l1"
"579","Ttc5"
"580","Aamp"
"581","Tmbim1"
"582","Arpc2"
"583","Kmt2b"
"584","Etv2"
"585","Tfpt"
"586","Ggt5"
"587","Crip2"
"588","Cbfa2t3"
"589","Fbln1"
"590","Pgrmc1"
"591","Tek"
"592","Mpl"
"593","Elovl1"
"594","Cdc20"
"595","Adamts4"
"596","Nectin4"
"597","Pfdn2"
"598","Rnf114"
"599","Steep1"
"600","Neurl1a"
"601","Srm"
"602","Rbm14"
"603","Actn3"
"604","Zdhhc24"
"605","Slc34a3"
"606","Ndor1"
"607","Pdk1"
"608","Ptbp1"
"609","Cyba"
"610","Sfmbt1"
"611","Itih1"
"612","Defb2"
"613","Cdt1"
"614","Runx1t1"
"615","Snai3"
"616","Gtf2h1"
"617","Hfe"
"618","Slc5a6"
"619","Tcf23"
"620","Nphs1"
"621","Aplp1"
"622","Qrich1"
"623","Usp19"
"624","Pola1"
"625","Cdc42"
"626","Gmnn"
"627","Zfp184"
"628","Kif5b"
"629","Tph2"
"630","Krt23"
"631","Sulf2"
"632","Sod2"
"633","Tmco6"
"634","Stambp"
"635","Ezh1"
"636","P3h4"
"637","Ctnnb1"
"638","Eif1b"
"639","Psmd2"
"640","Syngr3"
"641","Vars1"
"642","Abhd16a"
"643","Lsm2"
"644","Atp1a2"
"645","Casq1"
"646","Scube2"
"647","Dennd2c"
"648","Mark3"
"649","Pcdha10"
"650","M6pr"
"651","Ppp2r1a"
"652","Fance"
"653","Tinf2"
"654","Tssk4"
"655","Gtpbp3"
"656","Tgfbr1"
"657","Homer1"
"658","Rad51c"
"659","Arpp19"
"660","Bcl2l1"
"661","Khsrp"
"662","Ccdc124"
"663","Cct4"
"664","Trappc2b"
"665","Cpt1c"
"666","Zfp655"
"667","Rhoa"
"668","Zmiz1"
"669","Ankrd26"
"670","Hnrnpa0"
"671","Hnrnph1"
"672","Ift43"
"673","Id3"
"674","Tcap"
"675","Arid1a"
"676","Crlf1"
"677","Ctsd"
"678","Rplp1"
"679","Hmgcll1"
"680","Ttc9b"
"681","Abhd8"
"682","Ift22"
"683","Fzd3"
"684","1700008O03Rik"
"685","Mid1ip1"
"686","Ap2s1"
"687","Brme1"
"688","Emc10"
"689","Spib"
"690","Fnbp4"
"691","Scrn3"
"692","Phax"
"693","Snrpb2"
"694","Ubc"
"695","Prpf31"
"696","Sertad1"
"697","Carhsp1"
"698","Herpud2"
"699","Rdh13"
"700","Nutf2"
"701","Arpc5"
"702","Rnf151"
"703","Elavl2"
"704","Pou2f2"
"705","Rpl10"
"706","Rps15a"
"707","Ncaph2"
"708","Hipk1"
"709","Man1a2"
"710","Tppp2"
"711","Cldn13"
"712","Rala"
"713","Clec3a"
"714","Vdac3"
